S_Bank.Bank;S_Bank.BLZ;S_Bank.SwiftNr;S_Bank.Suchbegriff;S_Bank.Selektion;S_Adresse.AdressNr;S_Adresse.Name1;S_Adresse.Staat;S_Adresse.Ort;S_Adresse.Suchbegriff;S_Adresse.Selektion;S_Adresse.BriefAnrede;S_Adresse.Anrede;S_Adresse.Titel;S_Adresse.Vorname;S_Adresse.Name2;S_Adresse.Name3;S_Adresse.PLZ;S_Adresse.CityPrefix;S_Adresse.CityPostfix;S_Adresse.StreetPrefix;S_Adresse.Strasse;S_Adresse.StreetPostfix;S_Adresse.Hausnummer;S_Adresse.Bundesland;S_Adresse.PLZ_Postfach;S_Adresse.Postfach;S_Adresse.Telefonbuch;S_Adresse.EMail;S_Adresse.HomePage;S_Adresse.Handy;S_Adresse.Telefon;S_Adresse.AutoTelefon;S_Adresse.Telefax;S_Adresse.Telefon2;S_Adresse.Telefax2;S_Adresse.Longitude;S_Adresse.Latitude;S_Bank.I_ABI;S_Bank.I_CAB
?;;;;;0;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;0;0;;
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Bank;Bank;S_Bank.Bank;CHARACTER;x(12);
2;Bankleitzahl;Bank Routing Number;S_Bank.BLZ;CHARACTER;x(14);
3;SWIFT-BIC;SWIFT number;S_Bank.SwiftNr;CHARACTER;xxxx xx xx xxx;
4;Suchbegriff;Search Term;S_Bank.Suchbegriff;CHARACTER;x(12);
5;Selektion;Selection;S_Bank.Selektion;CHARACTER;x(20);
6;Adressnummer;Address Number;S_Adresse.AdressNr;INTEGER;zzzzzzz9;
7;Name;Name 1;S_Adresse.Name1;CHARACTER;x(80);
8;Staat;Country;S_Adresse.Staat;CHARACTER;x(3);
9;Ort;City;S_Adresse.Ort;CHARACTER;x(30);
10;Suchbegriff;Search Term;S_Adresse.Suchbegriff;CHARACTER;x(12);
11;Selektion;Selection;S_Adresse.Selektion;CHARACTER;x(20);
12;Briefanrede;Letter Salutation;S_Adresse.BriefAnrede;CHARACTER;x(50);
13;Anrede;Salutation;S_Adresse.Anrede;CHARACTER;x(30);
14;Titel;Title;S_Adresse.Titel;CHARACTER;x(50);
15;Vorname;First Name;S_Adresse.Vorname;CHARACTER;x(80);
16;Name 2;Name 2;S_Adresse.Name2;CHARACTER;x(80);
17;Name 3;Name 3;S_Adresse.Name3;CHARACTER;x(80);
18;Postleitzahl;ZIP Code;S_Adresse.PLZ;CHARACTER;x(10);
19;Prefix Ort;Prefix City;S_Adresse.CityPrefix;CHARACTER;x(40);
20;Postfix Ort;Postfix City;S_Adresse.CityPostfix;CHARACTER;x(40);
21;Prefix Straﬂe;Prefix Street;S_Adresse.StreetPrefix;CHARACTER;x(40);
22;Straﬂe;Street;S_Adresse.Strasse;CHARACTER;x(50);
23;Postfix Straﬂe;Postfix Street;S_Adresse.StreetPostfix;CHARACTER;x(40);
24;Hausnummer;Street Number;S_Adresse.Hausnummer;CHARACTER;x(12);
25;Bundesland;State;S_Adresse.Bundesland;CHARACTER;x(3);
26;PLZ Postfach;ZIP PO Box;S_Adresse.PLZ_Postfach;CHARACTER;x(10);
27;Postfach;PO Box;S_Adresse.Postfach;CHARACTER;x(30);
28;Telefonbuch;Manage Address in Central Telephone Book;S_Adresse.Telefonbuch;LOGICAL;ja/nein;
29;E-Mail;E-Mail;S_Adresse.EMail;CHARACTER;x(254);
30;Homepage;Homepage;S_Adresse.HomePage;CHARACTER;x(60);
31;Handy;Cell Phone;S_Adresse.Handy;CHARACTER;x(25);
32;Telefon;Telephone;S_Adresse.Telefon;CHARACTER;x(25);
33;Autotelefon;Car Phone;S_Adresse.AutoTelefon;CHARACTER;x(25);
34;Telefax;Fax;S_Adresse.Telefax;CHARACTER;x(25);
35;Telefon 2;Telephone 2;S_Adresse.Telefon2;CHARACTER;x(25);
36;Telefax 2;Fax 2;S_Adresse.Telefax2;CHARACTER;x(25);
37;L‰ngengrad;Longitude;S_Adresse.Longitude;DECIMAL;-zz9.9999999999;
38;Breitengrad;Latitude;S_Adresse.Latitude;DECIMAL;-zz9.9999999999;
39;ABI-Nummer;ABI Number;S_Bank.I_ABI;CHARACTER;x(6);
40;CAB-Nummer;CAB Number;S_Bank.I_CAB;CHARACTER;x(6);
