ML_Ort.LagerOrt;MP_Bereich.LagerBereich;MP_Bereich.LagerTyp;MP_BereichSpr.Bezeichnung;MP_Bereich.PrioEin;MP_Bereich.AnzEinlagScheine;MP_Bereich.FormularNr_Einlag;MP_Bereich.PrioAus;MP_Bereich.AnzAuslagScheine;MP_Bereich.FormularNr_Auslag
0;;;;10;0;0;10;0;0
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Lagerort;Storage Area;ML_Ort.LagerOrt;INTEGER;zzzzzzz9;
2;Lagerbereich;Storage Area Section;MP_Bereich.LagerBereich;CHARACTER;x(3);
3;Lagerbereichstyp;Storage Type;MP_Bereich.LagerTyp;CHARACTER;x(3);
4;Bezeichnung;Desc Storage Area Section;MP_BereichSpr.Bezeichnung;CHARACTER;x(30);
5;EinlagPrio;Priority for Stock-Ins;MP_Bereich.PrioEin;INTEGER;z9;
6;# EinlagSchein;Number of Stock-In Tags;MP_Bereich.AnzEinlagScheine;INTEGER;9;
7;FormularNr Einlag;Form Number Stock-In;MP_Bereich.FormularNr_Einlag;INTEGER;z9;
8;AuslagPrio;Priority for Stock-Outs;MP_Bereich.PrioAus;INTEGER;z9;
9;# AuslagSchein;Number of Stock-Out Tags;MP_Bereich.AnzAuslagScheine;INTEGER;9;
10;FormularNr Auslag;Form Number Stock-Out;MP_Bereich.FormularNr_Auslag;INTEGER;z9;
