M_LTPos.VerpackungsNr;M_LTPos.LfdNr;M_LTPos.Bereich;M_LTPos.Baugruppe;M_LTPos.Packmittel;M_LTPos.Satzart;M_LTPos.Mehrweg;M_LTPos.Fremdeigentum;M_LTPos.Rueckgabe;M_LTPos.Menge;M_LTPos.Anz_Lagen;M_LTPos.Auffuellen;M_LTPos.FormularNr;M_LTPos.FormularAnzahl;M_LTPos.Labeldruck;S_KostenStelle.Kostenstelle;SBM_PartCustQuant.Artikel;SBM_PartCustQuant.Kunde;SBM_PartCustQuant.Mengeneinheit;SBM_PartCustQuant.Fuellmenge;M_LTPos.verw_zubehoer;M_LTPos.Konto;M_LTPos.LagerOrt;M_LTPos.Breite;M_LTPos.Tiefe;M_LTPos.Hoehe;M_LTPos.gedruckt;M_LTPos.Gewicht;M_LTPos.GewichtManuell;S_KoTraeger.Kostentraeger;M_LTPos.ReplicatePPS;M_LTPos.uCI_SAOutPurchasing;M_LTPos.uCI_StackingFactor;M_LTPos.uCA_PriceID
0;0;V;0;;;no;no;no;0;0;0;?;1;0;0;;0;0;0;0;0;?;0;0;0;no;0;0;;no;?;1;
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;VerpackungsNr;Packaging ID;M_LTPos.VerpackungsNr;INTEGER;zzzzzzz9;
2;laufende Nr;Counter;M_LTPos.LfdNr;INTEGER;zzzzzzz9;
3;Bereich LT;Book;M_LTPos.Bereich;CHARACTER;x;
4;Baugruppe LT;Assembly;M_LTPos.Baugruppe;INTEGER;zzzzzzz9;
5;Packmittel;Packaging Material;M_LTPos.Packmittel;CHARACTER;x(20);
6;Satzart;Data Segment;M_LTPos.Satzart;CHARACTER;x;
7;Mehrwegpackmittel;Returnable;M_LTPos.Mehrweg;LOGICAL;ja/nein;
8;Fremdbestand;External Stock;M_LTPos.Fremdeigentum;LOGICAL;ja/nein;
9;Rückgabe;Returns;M_LTPos.Rueckgabe;LOGICAL;ja/nein;
10;Menge;Quantity;M_LTPos.Menge;DECIMAL;-zzz,zzz,zz9.999;
11;Anzahl Lagen;Number of Layers;M_LTPos.Anz_Lagen;INTEGER;z9;
12;Auffüllen;Fill;M_LTPos.Auffuellen;INTEGER;z9;
13;Formularnummer;Form Number;M_LTPos.FormularNr;INTEGER;z9;
14;Anzahl Formulare;Number of Forms;M_LTPos.FormularAnzahl;INTEGER;9;
15;Druck Anhänger;Labl Print;M_LTPos.Labeldruck;INTEGER;z9;
16;Kostenstelle;Cost Center;S_KostenStelle.Kostenstelle;INTEGER;zzzzzzz9;
17;Teil;Part;SBM_PartCustQuant.Artikel;CHARACTER;x(20);
18;Kunde;Customer;SBM_PartCustQuant.Kunde;INTEGER;zzzzzzzz;
19;Mengeneinheit;Unit of Measure;SBM_PartCustQuant.Mengeneinheit;INTEGER;zz9;
20;Füllmenge;Fill Quantity;SBM_PartCustQuant.Fuellmenge;DECIMAL;zzz,zzz,zz9.999;
21;Verwendung Zubehör;Use Accessories;M_LTPos.verw_zubehoer;INTEGER;z9;
22;Packmittelpool;Packaging Pool;M_LTPos.Konto;INTEGER;zzzzzzzz;
23;Lagerort PM;Storage Area;M_LTPos.LagerOrt;INTEGER;zzzzzzz9;
24;Breite;Width (mm);M_LTPos.Breite;INTEGER;zz,zz9;
25;Tiefe;Number of Levels;M_LTPos.Tiefe;INTEGER;zz,zz9;
26;Höhe;Height (mm);M_LTPos.Hoehe;INTEGER;zz,zz9;
27;Beleg gedruckt;Printed;M_LTPos.gedruckt;LOGICAL;ja/nein;
28;Gewicht;Weight;M_LTPos.Gewicht;DECIMAL;zzz,zz9.9999;
29;Gesamtgewicht man;Weight Manual;M_LTPos.GewichtManuell;DECIMAL;zzz,zz9.9999;
30;Kostenträger;Cost Object;S_KoTraeger.Kostentraeger;CHARACTER;x(20);
31;in PPS spiegeln;Mirror in WO;M_LTPos.ReplicatePPS;LOGICAL;ja/nein;
32;LO Abgang WE;Storage Area Warehouse Out Stock Receipt;M_LTPos.uCI_SAOutPurchasing;INTEGER;zzzzzzz9;
33;Stapelfaktor;Stacking Factor;M_LTPos.uCI_StackingFactor;DECIMAL;zz9.9;
34;PrKat Verpackung;Price Catalog;M_LTPos.uCA_PriceID;CHARACTER;X(8);
